索引,名称,规格型号,Description,单价,数量,总价,匹配标识
0,PVC直接,日标 适配PVCφ20 线管使用,管双直通圆接线盒(带盖)PVC电工套管配件白色 65×40/2I/Φ20,2835,15000,42525000,名称+数字片段智能匹配
1,PVC直接,日标 适配PVCφ20 线管使用,暗装灯头深型圆接线盒(双直通)PVC电工套管配件白色 65×65/2I/Φ20,3780,15000,56700000,名称+数字片段智能匹配
2,PVC直接,日标 适配PVCφ20 线管使用,暗装灯头深型圆接线盒(双直通)PVC电工套管配件白色 65×70/2I/Φ20,4410,15000,66150000,名称+数字片段智能匹配
3,PVC直接,日标 适配PVCφ25 线管使用,管双直通圆接线盒(带盖)PVC电工套管配件白色 65×40/2I/Φ25,3115,10000,31150000,名称+数字片段智能匹配
4,PVC排水管,2-1/2寸 4米/根（日标）,印尼(日标)PVC-U排水扩直口管(D系列)白色 76(2-1/2＂) 4M,45843,10,458430,名称+数字片段智能匹配
5,PVC排水管,2-1/2寸 4米/根（日标）,SNOW UPVC排水扩直口管白色 76(2-1/2＂) 4M,32318,10,323180,名称+数字片段智能匹配
6,PVC排水管,2-1/2寸 4米/根（日标）,异径套印尼(日标)PVC-U管件(D排水系列)灰色 4＂×2-1/2＂,9628,10,96280,名称+数字片段智能匹配
7,PVC弯头,2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 2＂,9309,63,586467,名称+数字片段智能匹配
8,PVC弯头,2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 2-1/2＂,14858,63,936054,名称+数字片段智能匹配
9,PVC弯头,2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 2-1/2＂,6233,63,392679,名称+数字片段智能匹配
10,PVC弯头,2寸，日标，90°,90°顺水弯头印尼(日标)PVC-U管件(D排水系列)灰色 2＂,6280,63,395640,名称+数字片段智能匹配
11,PVC弯头,2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 2＂,3447,63,217161,名称+数字片段智能匹配
12,PVC弯头,1寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1＂,2250,90,202500,名称+数字片段智能匹配
13,PVC弯头,1寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1-1/4＂,4507,90,405630,名称+数字片段智能匹配
14,PVC弯头,1寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1-1/2＂,6170,90,555300,名称+数字片段智能匹配
15,PVC弯头,1寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 1-1/4＂,1732,90,155880,名称+数字片段智能匹配
16,PVC弯头,1寸，日标，90°,90°顺水弯头印尼(日标)PVC-U管件(D排水系列)灰色 1-1/4＂,2950,90,265500,名称+数字片段智能匹配
17,PVC弯头,1寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 1-1/2＂,2190,90,197100,名称+数字片段智能匹配
18,PVC弯头,3/4寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 3/4＂,1532,435,666420,名称+数字片段智能匹配
19,PVC弯头,1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1/2＂,1273,550,700150,名称+数字片段智能匹配
20,PVC弯头,1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 2-1/2＂,14858,550,8171900,名称+数字片段智能匹配
21,PVC弯头,1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1-1/2＂,6170,550,3393500,名称+数字片段智能匹配
22,PVC弯头,1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 2-1/2＂,6233,550,3428150,名称+数字片段智能匹配
23,PVC弯头,1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 1-1/2＂,2190,550,1204500,名称+数字片段智能匹配
24,PVC弯头,4寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 4＂,44765,60,2685900,名称+数字片段智能匹配
25,PVC弯头,4寸，日标，90°,90°顺水弯头印尼(日标)PVC-U管件(D排水系列)灰色 4＂,28953,60,1737180,名称+数字片段智能匹配
26,PVC弯头,4寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 4＂,15466,60,927960,名称+数字片段智能匹配
27,PVC弯头,2-1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 2-1/2＂,14858,40,594320,名称+数字片段智能匹配
28,PVC弯头,2-1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 2-1/2＂,6233,40,249320,名称+数字片段智能匹配
29,PVC弯头,1-1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(AW给水系列)灰色 1-1/2＂,6170,140,863800,名称+数字片段智能匹配
30,PVC弯头,1-1/2寸，日标，90°,90°弯头印尼(日标)PVC-U管件(D排水系列)灰色 1-1/2＂,2190,140,306600,名称+数字片段智能匹配
